bit index,bit value,module,name,type,path,description,sinks
0,1,grid_clb_1__2_,mem_fle_3_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_3,lut input config,not specified
1,1,grid_clb_1__2_,mem_fle_3_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_3,lut input config,not specified
2,1,grid_clb_1__2_,mem_fle_3_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_3,lut input config,not specified
3,0,grid_clb_1__2_,mem_fle_3_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_3,lut input config,not specified
4,1,grid_clb_1__2_,mem_fle_3_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_2,lut input config,not specified
5,1,grid_clb_1__2_,mem_fle_3_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_2,lut input config,not specified
6,0,grid_clb_1__2_,mem_fle_3_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_2,lut input config,not specified
7,0,grid_clb_1__2_,mem_fle_3_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_2,lut input config,not specified
8,1,grid_clb_1__2_,mem_fle_3_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_1,lut input config,not specified
9,1,grid_clb_1__2_,mem_fle_3_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_1,lut input config,not specified
10,0,grid_clb_1__2_,mem_fle_3_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_1,lut input config,not specified
11,1,grid_clb_1__2_,mem_fle_3_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_1,lut input config,not specified
12,1,grid_clb_1__2_,mem_fle_3_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_0,lut input config,not specified
13,0,grid_clb_1__2_,mem_fle_3_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_0,lut input config,not specified
14,0,grid_clb_1__2_,mem_fle_3_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_0,lut input config,not specified
15,0,grid_clb_1__2_,mem_fle_3_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_3_in_0,lut input config,not specified
16,1,grid_clb_1__2_,mem_fle_2_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_3,lut input config,not specified
17,0,grid_clb_1__2_,mem_fle_2_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_3,lut input config,not specified
18,0,grid_clb_1__2_,mem_fle_2_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_3,lut input config,not specified
19,0,grid_clb_1__2_,mem_fle_2_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_3,lut input config,not specified
20,1,grid_clb_1__2_,mem_fle_2_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_2,lut input config,not specified
21,1,grid_clb_1__2_,mem_fle_2_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_2,lut input config,not specified
22,1,grid_clb_1__2_,mem_fle_2_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_2,lut input config,not specified
23,0,grid_clb_1__2_,mem_fle_2_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_2,lut input config,not specified
24,1,grid_clb_1__2_,mem_fle_2_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_1,lut input config,not specified
25,1,grid_clb_1__2_,mem_fle_2_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_1,lut input config,not specified
26,0,grid_clb_1__2_,mem_fle_2_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_1,lut input config,not specified
27,1,grid_clb_1__2_,mem_fle_2_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_1,lut input config,not specified
28,1,grid_clb_1__2_,mem_fle_2_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_0,lut input config,not specified
29,1,grid_clb_1__2_,mem_fle_2_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_0,lut input config,not specified
30,0,grid_clb_1__2_,mem_fle_2_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_0,lut input config,not specified
31,0,grid_clb_1__2_,mem_fle_2_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_2_in_0,lut input config,not specified
32,1,grid_clb_1__2_,mem_fle_1_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_3,lut input config,not specified
33,1,grid_clb_1__2_,mem_fle_1_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_3,lut input config,not specified
34,1,grid_clb_1__2_,mem_fle_1_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_3,lut input config,not specified
35,0,grid_clb_1__2_,mem_fle_1_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_3,lut input config,not specified
36,1,grid_clb_1__2_,mem_fle_1_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_2,lut input config,not specified
37,0,grid_clb_1__2_,mem_fle_1_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_2,lut input config,not specified
38,0,grid_clb_1__2_,mem_fle_1_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_2,lut input config,not specified
39,0,grid_clb_1__2_,mem_fle_1_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_2,lut input config,not specified
40,1,grid_clb_1__2_,mem_fle_1_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_1,lut input config,not specified
41,1,grid_clb_1__2_,mem_fle_1_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_1,lut input config,not specified
42,0,grid_clb_1__2_,mem_fle_1_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_1,lut input config,not specified
43,1,grid_clb_1__2_,mem_fle_1_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_1,lut input config,not specified
44,1,grid_clb_1__2_,mem_fle_1_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_0,lut input config,not specified
45,1,grid_clb_1__2_,mem_fle_1_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_0,lut input config,not specified
46,0,grid_clb_1__2_,mem_fle_1_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_0,lut input config,not specified
47,0,grid_clb_1__2_,mem_fle_1_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_1_in_0,lut input config,not specified
48,0,grid_clb_1__2_,mem_fle_0_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_3,lut input config,not specified
49,0,grid_clb_1__2_,mem_fle_0_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_3,lut input config,not specified
50,0,grid_clb_1__2_,mem_fle_0_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_3,lut input config,not specified
51,0,grid_clb_1__2_,mem_fle_0_in_3,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_3,lut input config,not specified
52,1,grid_clb_1__2_,mem_fle_0_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_2,lut input config,not specified
53,1,grid_clb_1__2_,mem_fle_0_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_2,lut input config,not specified
54,0,grid_clb_1__2_,mem_fle_0_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_2,lut input config,not specified
55,1,grid_clb_1__2_,mem_fle_0_in_2,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_2,lut input config,not specified
56,1,grid_clb_1__2_,mem_fle_0_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_1,lut input config,not specified
57,0,grid_clb_1__2_,mem_fle_0_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_1,lut input config,not specified
58,0,grid_clb_1__2_,mem_fle_0_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_1,lut input config,not specified
59,0,grid_clb_1__2_,mem_fle_0_in_1,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_1,lut input config,not specified
60,1,grid_clb_1__2_,mem_fle_0_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_0,lut input config,not specified
61,1,grid_clb_1__2_,mem_fle_0_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_0,lut input config,not specified
62,1,grid_clb_1__2_,mem_fle_0_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_0,lut input config,not specified
63,0,grid_clb_1__2_,mem_fle_0_in_0,mux_tree_size14,grid_clb_1__2_/logical_tile_clb_mode_clb__0/mem_fle_0_in_0,lut input config,not specified
64,1,grid_clb_1__2_,mem_ble4_out_0,mem_ble4_out_0,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/mem_ble4_out_0,lut ff config,not specified
65,0,grid_clb_1__2_,mem_ble4_out_0,mem_ble4_out_0,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/mem_ble4_out_0,lut ff config,not specified
66,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
67,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
68,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
69,0,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
70,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
71,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
72,0,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
73,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
74,0,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
75,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
76,0,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
77,0,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
78,1,grid_clb_1__2_,lut4_DFF_mem,lut4_DFF_mem,grid_clb_1__2_/logical_tile_clb_mode_clb__0/logical_tile_clb_mode_default__fle_3/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_0/logical_tile_clb_mode_default__fle_mode_n1_lut4__ble4_mode_default__lut4_0/lut4_DFF_mem,lut init data,not specified
